2027 0.783945
704757,533,699,0,800,1200,192
704757,533,699,192,800,1200,384
704757,0,0,0,267,501,192
704757,266,699,0,533,1200,192
704757,0,0,192,267,501,384
764501,267,0,0,528,447,217
764501,267,0,217,528,447,434
764501,0,0,384,261,447,601
764501,0,501,0,261,948,217
764501,267,0,434,528,447,651
722822,528,0,0,797,447,215
722822,264,753,192,533,1200,407
722822,264,753,407,533,1200,622
722822,528,0,215,797,447,430
722822,86,484,407,533,753,622
722146,0,0,601,266,446,821
722146,534,754,384,800,1200,604
722146,534,754,604,800,1200,824
722146,528,0,430,794,446,650
722146,267,0,651,533,446,871
722146,267,446,651,713,712,871
722146,267,754,622,533,1200,842
764541,1,754,407,264,1200,623
764541,1,754,623,264,1200,839
764541,537,754,824,800,1200,1040
764541,270,754,842,533,1200,1058
764541,7,754,842,270,1200,1058
764541,0,0,821,263,446,1037
764541,537,754,1040,800,1200,1256
722021,273,755,1058,533,1200,1276
722021,533,0,651,793,445,869
722021,267,0,871,527,445,1089
722021,527,0,871,787,445,1089
722021,0,0,1037,260,445,1255
722021,13,755,1058,273,1200,1276
705058,427,477,1040,800,754,1208
705058,267,0,1089,544,373,1257
705058,267,445,871,640,722,1039
705058,54,477,1040,427,754,1208
705058,523,381,1208,800,754,1376
733842,0,501,217,226,872,407
733842,544,0,1089,770,371,1279
752321,258,835,1276,533,1200,1459
752321,158,479,1208,523,754,1391
752321,525,389,1376,800,754,1559
752321,258,835,1459,533,1200,1642
752321,267,0,1257,542,365,1440
752321,267,0,1440,542,365,1623
704002,572,891,1256,800,1200,1485
704002,30,891,1276,258,1200,1505
704002,0,0,1255,228,309,1484
704002,491,471,0,800,699,229
704024,34,446,623,264,754,850
704024,215,524,1391,523,754,1618
704024,570,892,1485,800,1200,1712
704024,544,0,1279,774,308,1506
704014,0,0,1484,226,307,1715
704014,544,0,1506,770,307,1737
704014,267,0,1623,493,307,1854
704014,267,307,1623,493,614,1854
704016,493,307,1623,799,532,1854
704016,575,448,384,800,754,615
704016,33,894,1505,258,1200,1736
704016,308,894,1642,533,1200,1873
728771,22,460,1391,215,754,1678
728771,267,614,1623,561,807,1910
728771,0,0,1715,193,294,2002
704739,609,912,1712,800,1200,2003
704739,609,624,1712,800,912,2003
704739,67,912,1736,258,1200,2027
704740,0,294,1715,189,584,2004
704740,69,622,1736,258,912,2025
704740,544,0,1737,733,290,2026
